,humidity,spencer.hum
0,3.65245345,0.003768981
1,3.626767549,0.003838134
2,3.602305602,0.003823646
3,3.579074858,0.003693355
4,3.5570822,0.003478345
5,3.536334144,0.003381751
6,3.51683684,0.003372337
7,3.498596065,0.003549996
8,3.481617223,0.003753834
9,3.465905346,0.003938488
10,3.45146509,0.004010126
11,3.438300734,0.004017901
12,3.426416178,0.003650724
13,3.415814944,0.00339768
14,3.406500174,0.003322651
15,3.398474628,0.003319812
16,3.391740683,0.003306687
17,3.386300336,0.003318663
18,3.382155198,0.003370579
19,3.379306498,0.003385151
20,3.37775508,0.003411304
21,3.377501403,0.003388817
22,3.378545543,0.003350001
23,3.38088719,0.003356781
24,3.384525651,0.003320995
25,3.389459847,0.003411741
26,3.395688316,0.003375127
27,3.403209213,0.00343022
28,3.412020309,0.003517326
29,3.422118992,0.003464748
30,3.433502272,0.003484991
31,3.446166773,0.003657939
32,3.460108744,0.003545589
33,3.475324054,0.00354974
34,3.491808194,0.003580179
35,3.509556278,0.003534596
36,3.528563049,0.003728251
37,3.548822873,0.003701157
38,3.570329748,0.003504515
39,3.5930773,0.003546178
40,3.61705879,0.003540652
41,3.64226711,0.003554233
42,3.668694791,0.003583565
43,3.696334001,0.003593557
44,3.725176552,0.003837076
45,3.755213895,0.003983135
46,3.786437131,0.003833895
47,3.818837007,0.00363066
48,3.852403923,0.003739876
49,3.887127931,0.003922405
50,3.922998743,0.004270843
51,3.960005729,0.004334783
52,3.998137923,0.004327123
53,4.037384026,0.00426148
54,4.077732407,0.004135421
55,4.119171113,0.003841218
56,4.161687862,0.003682006
57,4.205270056,0.003736189
58,4.249904781,0.00386574
59,4.295578811,0.003940016
60,4.342278612,0.003906335
61,4.389990345,0.003814427
62,4.438699873,0.003855459
63,4.488392761,0.003914879
64,4.539054284,0.003968895
65,4.590669432,0.004064865
66,4.643222908,0.004242599
67,4.69669914,0.004380199
68,4.751082282,0.004356779
69,4.80635622,0.004460468
70,4.862504573,0.004565698
71,4.919510705,0.004581821
72,4.977357722,0.004532094
73,5.036028485,0.00464211
74,5.095505607,0.004742967
75,5.155771463,0.004710953
76,5.216808197,0.004702339
77,5.278597721,0.004820446
78,5.341121726,0.004883004
79,5.404361685,0.004775034
80,5.468298858,0.004531716
81,5.532914299,0.004585495
82,5.598188861,0.004810978
83,5.664103203,0.004966445
84,5.730637792,0.004956584
85,5.797772912,0.005010518
86,5.865488671,0.005216598
87,5.933765002,0.005339265
88,6.002581673,0.005153771
89,6.071918293,0.005134039
90,6.141754316,0.005159087
91,6.212069048,0.00524323
92,6.282841654,0.005296358
93,6.35405116,0.00511029
94,6.425676468,0.005060389
95,6.497696352,0.005194844
96,6.570089472,0.00543948
97,6.642834376,0.005548949
98,6.715909508,0.005545016
99,6.789293214,0.005462036
100,6.86296375,0.005454982
101,6.936899284,0.005608626
102,7.011077909,0.005740814
103,7.085477643,0.00566946
104,7.16007644,0.005616411
105,7.234852196,0.005652402
106,7.309782752,0.005829086
107,7.384845905,0.006073211
108,7.460019412,0.00620682
109,7.535280998,0.006206394
110,7.61060836,0.006176151
111,7.685979178,0.00616027
112,7.761371118,0.006014462
113,7.83676184,0.006069684
114,7.912129003,0.006186794
115,7.987450275,0.006238594
116,8.062703336,0.006145624
117,8.137865887,0.006100502
118,8.212915656,0.006314503
119,8.287830405,0.006516624
120,8.362587934,0.006710979
121,8.43716609,0.006783221
122,8.511542776,0.006730407
123,8.585695951,0.006724068
124,8.659603642,0.006875021
125,8.733243949,0.00713014
126,8.806595051,0.007340352
127,8.879635212,0.007563353
128,8.952342788,0.007770652
129,9.024696235,0.0078643
130,9.096674114,0.007780461
131,9.168255095,0.007573823
132,9.239417967,0.007431096
133,9.310141643,0.007434039
134,9.380405167,0.007562827
135,9.450187718,0.007647132
136,9.519468617,0.007781524
137,9.588227336,0.007957436
138,9.656443499,0.008156602
139,9.724096893,0.008142464
140,9.79116747,0.00812821
141,9.857635356,0.008333827
142,9.923480856,0.00860091
143,9.988684457,0.008651901
144,10.05322684,0.008776696
145,10.11708888,0.00902716
146,10.18025164,0.009277927
147,10.24269643,0.009488958
148,10.30440472,0.009442197
149,10.36535824,0.009446284
150,10.42553893,0.009434987
151,10.48492894,0.009341401
