,date,state,hosp,death
0,2022/08/08,MD,1.0,0.0
1,2022/08/09,MD,0.0,1.0
2,2022/08/10,MD,1.0,1.0
3,2022/08/11,MD,2.0,0.0
4,2022/08/12,MD,0.0,0.0
5,2022/08/13,MD,1.0,2.0
6,2022/08/14,MD,0.0,1.0
7,2022/08/15,MD,2.0,2.0
8,2022/08/16,MD,1.0,5.0
9,2022/08/17,MD,1.0,1.0
10,2022/08/18,MD,0.0,4.0
11,2022/08/19,MD,2.0,2.0
12,2022/08/20,MD,2.0,2.0
13,2022/08/21,MD,2.0,1.0
14,2022/08/22,MD,0.0,1.0
15,2022/08/23,MD,2.0,0.0
16,2022/08/24,MD,2.0,1.0
17,2022/08/25,MD,0.0,1.0
18,2022/08/26,MD,0.0,0.0
19,2022/08/27,MD,1.0,2.0
20,2022/08/28,MD,0.0,0.0
21,2022/08/29,MD,0.0,3.0
22,2022/08/30,MD,0.0,2.0
23,2022/08/31,MD,0.0,2.0
24,2022/09/01,MD,0.0,3.0
25,2022/09/02,MD,0.0,5.0
26,2022/09/03,MD,0.0,1.0
27,2022/09/04,MD,1.0,0.0
28,2022/09/05,MD,0.0,2.0
29,2022/09/06,MD,2.0,1.0
30,2022/09/07,MD,0.0,2.0
31,2022/09/08,MD,0.0,1.0
32,2022/09/09,MD,0.0,2.0
33,2022/09/10,MD,1.0,2.0
34,2022/09/11,MD,0.0,1.0
35,2022/09/12,MD,4.0,0.0
36,2022/09/13,MD,0.0,1.0
37,2022/09/14,MD,1.0,3.0
38,2022/09/15,MD,1.0,4.0
39,2022/09/16,MD,1.0,2.0
40,2022/09/17,MD,1.0,1.0
41,2022/09/18,MD,0.0,4.0
42,2022/09/19,MD,0.0,0.0
43,2022/09/20,MD,1.0,8.0
44,2022/09/21,MD,1.0,2.0
45,2022/09/22,MD,0.0,6.0
46,2022/09/23,MD,0.0,2.0
47,2022/09/24,MD,1.0,6.0
48,2022/09/25,MD,0.0,2.0
49,2022/09/26,MD,0.0,2.0
50,2022/09/27,MD,0.0,3.0
51,2022/09/28,MD,3.0,1.0
52,2022/09/29,MD,1.0,6.0
53,2022/09/30,MD,2.0,2.0
54,2022/10/01,MD,1.0,4.0
55,2022/10/02,MD,2.0,3.0
56,2022/10/03,MD,2.0,0.0
57,2022/10/04,MD,2.0,3.0
58,2022/10/05,MD,1.0,2.0
59,2022/10/06,MD,2.0,3.0
60,2022/10/07,MD,4.0,2.0
61,2022/10/08,MD,4.0,2.0
62,2022/10/09,MD,6.0,4.0
63,2022/10/10,MD,3.0,2.0
64,2022/10/11,MD,3.0,3.0
65,2022/10/12,MD,4.0,3.0
66,2022/10/13,MD,4.0,3.0
67,2022/10/14,MD,1.0,3.0
68,2022/10/15,MD,6.0,0.0
69,2022/10/16,MD,4.0,4.0
70,2022/10/17,MD,4.0,4.0
71,2022/10/18,MD,9.0,4.0
72,2022/10/19,MD,7.0,4.0
73,2022/10/20,MD,12.0,3.0
74,2022/10/21,MD,6.0,0.0
75,2022/10/22,MD,2.0,2.0
76,2022/10/23,MD,9.0,2.0
77,2022/10/24,MD,10.0,2.0
78,2022/10/25,MD,13.0,2.0
79,2022/10/26,MD,16.0,2.0
80,2022/10/27,MD,21.0,1.0
81,2022/10/28,MD,23.0,1.0
82,2022/10/29,MD,13.0,5.0
83,2022/10/30,MD,13.0,5.0
84,2022/10/31,MD,15.0,6.0
85,2022/11/01,MD,27.0,4.0
86,2022/11/02,MD,30.0,3.0
87,2022/11/03,MD,25.0,2.0
88,2022/11/04,MD,23.0,0.0
89,2022/11/05,MD,23.0,5.0
90,2022/11/06,MD,22.0,1.0
91,2022/11/07,MD,28.0,3.0
92,2022/11/08,MD,37.0,6.0
93,2022/11/09,MD,40.0,1.0
94,2022/11/10,MD,32.0,1.0
95,2022/11/11,MD,33.0,3.0
96,2022/11/12,MD,24.0,3.0
97,2022/11/13,MD,30.0,3.0
98,2022/11/14,MD,28.0,4.0
99,2022/11/15,MD,29.0,5.0
100,2022/11/16,MD,28.0,0.0
101,2022/11/17,MD,37.0,5.0
102,2022/11/18,MD,28.0,8.0
103,2022/11/19,MD,31.0,7.0
104,2022/11/20,MD,37.0,4.0
105,2022/11/21,MD,34.0,2.0
106,2022/11/22,MD,41.0,4.0
107,2022/11/23,MD,44.0,3.0
108,2022/11/24,MD,53.0,0.0
109,2022/11/25,MD,51.0,3.0
110,2022/11/26,MD,53.0,6.0
111,2022/11/27,MD,56.0,7.0
112,2022/11/28,MD,62.0,3.0
113,2022/11/29,MD,66.0,0.0
114,2022/11/30,MD,60.0,7.0
115,2022/12/01,MD,58.0,5.0
116,2022/12/02,MD,56.0,4.0
117,2022/12/03,MD,57.0,3.0
118,2022/12/04,MD,46.0,3.0
119,2022/12/05,MD,49.0,3.0
120,2022/12/06,MD,41.0,2.0
121,2022/12/07,MD,53.0,3.0
122,2022/12/08,MD,45.0,1.0
123,2022/12/09,MD,56.0,2.0
124,2022/12/10,MD,42.0,0.0
125,2022/12/11,MD,33.0,4.0
126,2022/12/12,MD,35.0,2.0
127,2022/12/13,MD,31.0,4.0
128,2022/12/14,MD,35.0,6.0
129,2022/12/15,MD,37.0,3.0
130,2022/12/16,MD,58.0,8.0
131,2022/12/17,MD,37.0,3.0
132,2022/12/18,MD,45.0,3.0
133,2022/12/19,MD,33.0,4.0
134,2022/12/20,MD,31.0,1.0
135,2022/12/21,MD,40.0,4.0
136,2022/12/22,MD,35.0,6.0
137,2022/12/23,MD,40.0,3.0
138,2022/12/24,MD,21.0,1.0
139,2022/12/25,MD,27.0,1.0
140,2022/12/26,MD,34.0,3.0
141,2022/12/27,MD,36.0,7.0
142,2022/12/28,MD,33.0,1.0
143,2022/12/29,MD,30.0,4.0
144,2022/12/30,MD,39.0,5.0
145,2022/12/31,MD,30.0,3.0
146,2023/01/01,MD,19.0,3.0
147,2023/01/02,MD,33.0,2.0
148,2023/01/03,MD,35.0,3.0
149,2023/01/04,MD,31.0,5.0
150,2023/01/05,MD,17.0,4.0
151,2023/01/06,MD,15.0,2.0
152,2023/01/07,MD,15.0,3.0
153,2023/01/08,MD,15.0,1.0
154,2023/01/09,MD,17.0,2.0
155,2023/01/10,MD,15.0,5.0
156,2023/01/11,MD,18.0,2.0
157,2023/01/12,MD,17.0,3.0
